YearsCodePro_n,YearsCode_n,WorkExp_n,EdLevel_n,OrgSize_n,Remote_n,Country_n,DevType_n,lang_count,lang_Python,lang_JavaScript,lang_TypeScript,lang_SQL,lang_Java,lang_CSharp,lang_CPlusPlus,lang_PHP,lang_Go,lang_Rust,IsFullTime,ConvertedCompYearly
6.0,10.0,6.0,6.0,9.0,1.0,10,1.0,4,1,0,0,1,0,1,0,0,0,0,1,210000.0
11.0,16.0,12.0,5.0,9.0,0.0,6,1.0,3,1,0,0,0,1,0,0,0,0,0,1,96000.0
7.0,11.0,10.0,5.0,4.0,0.0,8,1.0,3,1,0,0,1,0,0,0,0,0,1,1,190000.0
3.0,4.0,5.0,5.0,3.0,1.0,6,1.0,5,0,1,1,1,1,0,0,0,0,0,1,15536.0
20.0,25.0,20.0,6.0,5.0,1.0,8,10.0,5,0,1,0,1,0,0,0,1,0,0,1,40000.0
6.0,18.0,6.0,5.0,3.0,0.0,10,0.0,3,1,0,0,0,0,0,0,0,0,0,1,170000.0
36.0,40.0,40.0,3.0,5.0,1.0,10,1.0,4,0,1,1,1,0,0,0,0,0,0,1,235000.0
21.0,38.0,21.0,6.0,7.0,1.0,9,0.0,9,0,1,1,1,1,1,0,0,0,0,1,129936.0
30.0,25.0,25.0,3.0,4.0,1.0,6,0.0,5,0,0,1,1,0,1,0,0,0,0,1,62000.0
15.0,25.0,15.0,6.0,5.0,0.0,2,1.0,11,0,1,0,1,0,0,0,1,1,1,1,193331.0
6.0,7.0,6.0,5.0,5.0,0.0,5,10.0,5,1,0,0,1,0,0,0,0,1,0,1,56925.0
3.0,4.0,3.0,5.0,2.0,0.0,6,0.0,5,0,1,0,1,0,0,0,0,0,0,1,45111.0
25.0,32.0,10.0,5.0,8.0,2.0,10,1.0,0,0,0,0,0,0,0,0,0,0,0,1,108000.0
15.0,17.0,10.0,6.0,7.0,1.0,4,10.0,3,1,0,0,1,0,0,0,0,0,0,1,47854.0
5.0,6.0,10.0,6.0,6.0,0.0,9,7.0,1,0,0,0,0,0,0,0,0,0,0,1,109554.0
8.0,15.0,6.0,2.0,6.0,1.0,6,0.0,6,1,1,1,0,0,0,0,1,0,0,1,50090.0
12.0,18.0,12.0,5.0,3.0,0.0,6,1.0,5,1,1,0,1,0,1,0,0,0,0,1,25777.0
10.0,12.0,15.0,3.0,4.0,0.0,7,1.0,5,1,1,1,1,0,0,0,0,0,0,1,96666.0
