YearsCodePro_n,YearsCode_n,WorkExp_n,EdLevel_n,OrgSize_n,Remote_n,Country_n,DevType_n,lang_count,lang_Python,lang_JavaScript,lang_TypeScript,lang_SQL,lang_Java,lang_CSharp,lang_CPlusPlus,lang_PHP,lang_Go,lang_Rust,IsFullTime,ConvertedCompYearly
33.0,36.0,35.0,6.0,6.0,0.0,6,1.0,6,0,0,0,1,1,0,1,0,0,1,0,147496.0
22.0,34.0,10.0,3.0,5.0,1.0,6,0.0,6,0,1,0,1,1,0,0,0,0,1,1,59150.0
4.0,8.0,10.0,5.0,4.0,1.0,6,1.0,5,1,0,0,1,0,1,1,1,0,0,1,30074.0
12.0,13.0,12.0,5.0,5.0,1.0,6,0.0,4,0,1,0,1,0,0,0,1,0,0,1,54239.0
8.0,3.0,10.0,5.0,9.0,1.0,10,10.0,7,1,0,1,0,0,0,0,0,0,1,1,85000.0
7.0,8.0,10.0,6.0,5.0,2.0,4,0.0,4,0,1,0,0,0,0,0,1,0,0,1,14356.0
26.0,41.0,10.0,5.0,9.0,1.0,1,2.0,3,0,1,1,1,0,0,0,0,0,0,1,135936.0
6.0,8.0,10.0,4.0,3.0,0.0,0,2.0,3,0,1,0,0,1,0,0,1,0,0,1,17903.0
4.0,5.0,10.0,5.0,2.0,0.0,6,10.0,2,0,0,0,0,1,0,0,0,0,1,0,51518.0
2.0,3.0,2.0,5.0,3.0,2.0,6,1.0,1,0,0,0,0,0,1,0,0,0,0,1,17129.0
1.0,3.0,1.0,3.0,2.0,1.0,6,0.0,5,0,1,1,1,0,0,0,0,0,0,1,24715.0
4.0,7.0,10.0,6.0,7.0,1.0,6,0.0,7,1,1,1,1,1,1,0,0,0,0,1,53703.0
10.0,14.0,10.0,6.0,2.0,0.0,2,0.0,6,0,1,1,0,0,0,0,1,1,0,0,53703.0
2.0,2.0,3.0,6.0,5.0,2.0,6,10.0,6,1,1,0,1,0,0,0,0,0,0,1,23629.0
2.0,7.0,10.0,5.0,6.0,2.0,4,1.0,1,0,0,0,0,0,0,0,0,1,0,1,35292.0
5.0,10.0,5.0,6.0,4.0,1.0,6,0.0,9,1,1,0,0,1,0,0,0,0,0,1,69814.0
7.0,8.0,10.0,5.0,4.0,1.0,10,10.0,8,1,1,0,1,0,1,0,0,0,0,1,100000.0
0.0,6.0,10.0,5.0,4.0,1.0,6,7.0,3,0,0,0,0,1,0,1,0,0,0,1,33296.0
15.0,20.0,15.0,5.0,6.0,0.0,6,0.0,3,1,1,1,0,0,0,0,0,0,0,1,69814.0
12.0,18.0,12.0,5.0,4.0,0.0,6,1.0,1,0,0,0,0,0,1,0,0,0,0,1,51507.0
6.0,10.0,6.0,5.0,5.0,1.0,6,0.0,11,1,1,1,1,1,1,0,0,1,1,1,48916.0
21.0,27.0,10.0,6.0,5.0,0.0,9,0.0,1,0,0,0,0,0,0,0,0,0,0,1,118471.0
14.0,25.0,14.0,7.0,7.0,1.0,3,0.0,6,0,1,1,1,0,1,0,0,0,0,1,89147.0
8.0,19.0,10.0,5.0,7.0,1.0,6,0.0,6,0,1,0,1,0,0,0,0,0,0,0,32544.0
9.0,13.0,10.0,6.0,4.0,0.0,6,2.0,5,1,1,1,1,0,0,0,0,0,0,1,32345.0
11.0,16.0,13.0,6.0,5.0,0.0,6,3.0,2,1,0,0,1,0,0,0,0,0,0,1,49407.0
4.0,8.0,4.0,6.0,5.0,1.0,2,0.0,3,0,1,1,0,1,0,0,0,0,0,1,42962.0
4.0,6.0,10.0,5.0,1.0,1.0,3,7.0,9,1,1,0,1,1,1,1,0,0,0,0,236294.0
14.0,19.0,10.0,6.0,4.0,1.0,2,1.0,3,0,1,0,1,1,0,0,0,0,0,0,112777.0
35.0,40.0,36.0,2.0,3.0,0.0,6,2.0,4,0,1,1,0,0,0,0,0,0,0,1,66769.0
17.0,22.0,17.0,6.0,5.0,2.0,6,1.0,1,0,0,0,0,0,0,0,0,0,0,1,110974.0
14.0,18.0,10.0,5.0,1.0,0.0,6,0.0,13,1,1,1,1,1,0,1,1,1,0,0,64444.0
8.0,12.0,8.0,5.0,4.0,1.0,1,0.0,3,1,1,1,0,0,0,0,0,0,0,1,105405.0
3.0,10.0,3.0,6.0,7.0,1.0,6,1.0,6,1,1,1,1,0,0,0,1,0,0,1,81461.0
2.0,8.0,3.0,5.0,5.0,0.0,8,10.0,7,0,0,0,1,0,1,1,0,1,0,1,23697.0
11.0,20.0,11.0,5.0,2.0,0.0,10,0.0,5,0,1,0,0,1,0,0,0,0,0,1,120000.0
9.0,14.0,14.0,5.0,9.0,0.0,10,0.0,5,0,1,1,1,1,0,0,0,0,0,1,128000.0
32.0,35.0,33.0,5.0,5.0,2.0,6,1.0,5,0,1,0,1,0,0,0,1,0,0,0,39640.0
6.0,9.0,6.0,6.0,6.0,0.0,8,9.0,5,1,1,0,1,0,0,1,0,0,0,1,48000.0
17.0,25.0,10.0,6.0,1.0,1.0,6,8.0,5,1,1,0,1,0,1,0,0,0,0,0,153755.0
8.0,12.0,12.0,6.0,8.0,0.0,6,9.0,10,1,0,0,0,1,0,1,0,0,0,1,72284.0
8.0,15.0,8.0,6.0,9.0,0.0,10,1.0,1,0,0,0,0,0,0,0,0,0,1,1,400000.0
17.0,24.0,30.0,5.0,5.0,1.0,6,0.0,7,1,1,1,1,0,1,0,0,0,0,1,86654.0
1.0,4.0,10.0,5.0,5.0,1.0,3,0.0,7,1,1,1,1,1,0,1,0,0,0,1,15466.0
3.0,13.0,3.0,6.0,7.0,1.0,3,9.0,4,1,1,0,0,0,0,1,0,0,1,1,63370.0
36.0,38.0,10.0,6.0,4.0,1.0,10,1.0,3,0,0,0,1,1,0,0,0,0,0,1,200000.0
3.0,9.0,12.0,5.0,6.0,2.0,6,9.0,3,0,0,0,0,0,1,1,0,0,0,1,105846.0
8.0,12.0,10.0,5.0,5.0,0.0,10,10.0,3,0,1,0,0,0,1,1,0,0,0,1,120000.0
9.0,11.0,10.0,5.0,7.0,0.0,10,0.0,5,0,1,0,1,0,1,0,0,0,0,1,125000.0
6.0,16.0,6.0,3.0,5.0,2.0,3,0.0,3,1,0,0,1,0,1,0,0,0,0,1,55851.0
2.0,10.0,10.0,2.0,3.0,1.0,6,0.0,9,0,1,1,1,1,0,0,0,0,1,1,21404.0
2.0,6.0,2.0,5.0,2.0,0.0,10,2.0,5,0,1,1,1,0,0,0,1,0,0,0,40000.0
3.0,9.0,3.0,5.0,7.0,1.0,6,0.0,9,0,1,0,0,1,0,0,0,1,1,0,32757.0
25.0,25.0,10.0,6.0,2.0,0.0,9,0.0,11,1,1,1,1,1,1,0,1,0,0,1,59872.0
51.0,51.0,10.0,3.0,1.0,0.0,0,8.0,3,0,0,0,0,0,1,0,0,0,0,0,18649.0
15.0,25.0,17.0,5.0,3.0,0.0,6,0.0,6,1,1,0,0,1,0,0,1,0,0,0,70888.0
18.0,25.0,18.0,5.0,4.0,1.0,6,2.0,4,0,1,1,0,0,1,0,0,0,0,1,93591.0
13.0,17.0,13.0,7.0,4.0,1.0,10,10.0,4,1,0,0,0,0,0,1,0,0,0,1,113000.0
15.0,18.0,18.0,6.0,3.0,2.0,6,1.0,3,0,0,0,0,0,1,0,0,0,0,1,43435.0
