YearsCodePro_n,YearsCode_n,WorkExp_n,EdLevel_n,OrgSize_n,Remote_n,Country_n,DevType_n,lang_count,lang_Python,lang_JavaScript,lang_TypeScript,lang_SQL,lang_Java,lang_CSharp,lang_CPlusPlus,lang_PHP,lang_Go,lang_Rust,IsFullTime,ConvertedCompYearly
5.0,13.0,5.0,5.0,2.0,1.0,6,0.0,21,1,1,1,1,1,1,1,1,0,0,1,13669.0
12.0,16.0,19.0,6.0,4.0,2.0,6,6.0,4,1,0,0,1,0,0,0,0,0,0,1,85925.0
18.0,22.0,18.0,5.0,5.0,0.0,10,0.0,5,0,1,1,1,0,1,0,0,0,0,1,190000.0
7.0,16.0,7.0,6.0,4.0,1.0,6,0.0,4,0,0,1,0,0,1,0,0,0,0,1,63380.0
6.0,13.0,10.0,2.0,4.0,0.0,6,1.0,6,0,1,0,1,0,1,1,1,0,0,1,24458.0
20.0,25.0,20.0,2.0,4.0,0.0,6,8.0,1,0,0,0,0,0,0,0,0,0,0,1,37592.0
6.0,12.0,6.0,3.0,7.0,0.0,7,1.0,6,0,0,0,1,1,0,1,0,1,1,1,40814.0
10.0,15.0,10.0,6.0,3.0,0.0,8,0.0,5,1,1,0,1,0,0,0,1,0,0,1,140000.0
6.0,9.0,6.0,3.0,4.0,1.0,6,5.0,9,1,1,1,1,1,0,0,0,1,1,1,29692.0
2.0,8.0,10.0,2.0,4.0,2.0,2,8.0,10,1,1,1,0,0,1,1,0,0,0,1,42962.0
1.0,18.0,10.0,5.0,2.0,1.0,3,8.0,6,1,0,0,1,1,0,0,0,0,0,1,45111.0
4.0,12.0,11.0,6.0,9.0,0.0,7,1.0,3,0,0,1,0,1,0,0,0,0,0,1,47259.0
8.0,8.0,6.0,5.0,2.0,1.0,6,2.0,8,1,1,1,1,0,0,0,1,0,0,0,16111.0
2.0,4.0,10.0,6.0,4.0,0.0,1,2.0,4,0,1,1,1,0,0,0,0,0,0,1,116309.0
4.0,8.0,5.0,5.0,5.0,0.0,9,7.0,1,0,0,0,0,0,0,0,0,0,0,1,67516.0
9.0,11.0,9.0,5.0,2.0,1.0,10,8.0,3,0,0,0,1,0,1,1,0,0,0,1,100000.0
11.0,12.0,10.0,6.0,4.0,0.0,6,0.0,6,0,1,0,0,0,0,0,1,0,0,1,48998.0
13.0,18.0,13.0,6.0,5.0,1.0,3,10.0,2,1,0,0,0,0,0,0,0,0,0,0,107406.0
19.0,25.0,10.0,6.0,4.0,1.0,1,10.0,2,0,1,0,0,0,0,0,0,0,0,1,159924.0
10.0,11.0,10.0,5.0,5.0,1.0,6,0.0,9,1,1,1,1,0,1,0,0,0,0,1,72673.0
16.0,25.0,10.0,7.0,7.0,1.0,3,1.0,6,0,1,1,1,1,0,0,0,0,0,1,78407.0
2.0,7.0,10.0,6.0,7.0,1.0,4,3.0,1,1,0,0,0,0,0,0,0,0,0,1,33498.0
10.0,17.0,10.0,5.0,4.0,0.0,10,0.0,10,0,1,1,1,0,1,0,0,0,1,1,195000.0
14.0,21.0,13.0,6.0,2.0,0.0,6,0.0,6,1,1,0,1,1,1,0,1,0,0,0,31148.0
